s 402, a 0.96 
s 403, a 0.96 
s 404, a 0.98 
s 405, a 0.96 
s 406, a 0.92 
s 407, a 0.96 
s 408, a 0.96 
s 409, a 0.96 
s 410, a 0.96 
s 411, a 0.96 
s 412, a 0.94 
s 413, a 0.96 
s 414, a 0.98 
s 415, a 0.84 
s 416, a 0.94 
s 417, a 0.92 
s 418, a 0.9 
s 419, a 0.92 
s 420, a 0.98 
s 421, a 0.92 
s 422, a 0.98 
s 423, a 0.98 
s 424, a 0.84 
s 425, a 0.94 
s 426, a 0.98 
s 427, a 0.92 
s 428, a 0.98 
s 429, a 0.94 
s 430, a 0.96 
s 431, a 0.96 
s 432, a 0.94 
s 433, a 0.92 
s 434, a 0.98 
s 435, a 0.98 
s 436, a 0.88 
s 437, a 0.92 
s 438, a 0.96 
s 439, a 0.98 
s 440, a 0.92 
s 441, a 0.92 
s 442, a 0.96 
s 443, a 1 
s 444, a 0.96 
s 445, a 0.96 
s 446, a 0.92 
s 447, a 0.86 
s 448, a 0.96 
s 449, a 0.92 
s 450, a 0.94 
s 451, a 0.96 
s 452, a 0.94 
s 453, a 0.94 
s 454, a 0.96 
s 455, a 0.94 
s 456, a 0.98 
s 457, a 0.96 
s 458, a 0.9 
s 459, a 0.92 
s 460, a 0.94 
s 461, a 0.88 
s 462, a 0.96 
s 463, a 0.96 
s 464, a 0.92 
s 465, a 0.86 
s 466, a 0.92 
s 467, a 0.88 
s 468, a 0.9 
s 469, a 0.94 
s 470, a 0.92 
s 471, a 0.88 
s 472, a 0.98 
s 473, a 0.98 
s 474, a 0.94 
s 475, a 0.98 
s 476, a 0.9 
s 477, a 0.98 
s 478, a 0.92 
s 479, a 0.9 
s 480, a 0.96 
s 481, a 0.9 
s 482, a 0.9 
s 483, a 0.96 
s 484, a 0.98 
s 485, a 0.84 
s 486, a 0.94 
s 487, a 0.96 
s 488, a 0.92 
s 489, a 0.98 
s 490, a 0.98 
s 491, a 0.92 
s 492, a 0.94 
s 493, a 0.94 
s 494, a 0.92 
s 495, a 0.88 
s 496, a 0.94 
s 497, a 0.92 
s 498, a 0.94 
s 499, a 0.84 
s 500, a 0.9 
s 501, a 0.98 
s 502, a 0.94 
s 503, a 0.98 
s 504, a 0.98 
s 505, a 0.92 
s 506, a 0.98 
s 507, a 0.9 
s 508, a 0.96 
s 509, a 0.96 
s 510, a 0.86 
s 511, a 0.94 
s 512, a 0.9 
s 513, a 0.92 
s 514, a 0.98 
s 515, a 0.98 
s 516, a 0.96 
s 517, a 0.96 
s 518, a 1 
s 519, a 1 
s 520, a 0.94 
s 521, a 0.94 
s 522, a 0.86 
s 523, a 0.98 
s 524, a 0.92 
s 525, a 0.98 
s 526, a 1 
s 527, a 0.96 
s 528, a 0.9 
s 529, a 0.98 
s 530, a 0.94 
s 531, a 0.94 
s 532, a 0.96 
s 533, a 0.94 
s 534, a 0.96 
s 535, a 0.98 
s 536, a 0.94 
s 537, a 0.88 
s 538, a 0.94 
s 539, a 0.96 
s 540, a 0.92 
s 541, a 0.98 
s 542, a 0.92 
s 543, a 0.94 
s 544, a 0.96 
s 545, a 0.98 
s 546, a 0.94 
s 547, a 0.9 
s 548, a 0.98 
s 549, a 0.96 
s 550, a 0.96 
s 551, a 0.98 
s 552, a 0.9 
s 553, a 0.98 
s 554, a 0.94 
s 555, a 0.96 
s 556, a 0.98 
s 557, a 0.96 
s 558, a 0.92 
s 559, a 0.9 
s 560, a 0.96 
s 561, a 0.98 
s 562, a 0.86 
s 563, a 0.94 
s 564, a 0.98 
s 565, a 0.88 
s 566, a 0.96 
s 567, a 0.98 
s 568, a 0.86 
s 569, a 0.96 
s 570, a 0.96 
s 571, a 0.96 
s 572, a 0.96 
s 573, a 0.94 
s 574, a 0.98 
s 575, a 0.96 
s 576, a 0.92 
s 577, a 0.98 
s 578, a 0.9 
s 579, a 0.98 
s 580, a 0.92 
s 581, a 0.92 
s 582, a 0.94 
s 583, a 0.98 
s 584, a 0.98 
s 585, a 0.98 
s 586, a 0.96 
s 587, a 0.94 
s 588, a 0.94 
s 589, a 0.92 
s 590, a 0.9 
s 591, a 0.94 
s 592, a 0.92 
s 593, a 0.86 
s 594, a 0.96 
s 595, a 0.98 
s 596, a 0.9 
s 597, a 0.98 
s 598, a 0.92 
s 599, a 0.92 
s 600, a 0.98 
s 601, a 0.96 
s 602, a 0.92 
s 603, a 0.94 
s 604, a 0.98 
s 605, a 0.98 
